noTweets;sum_compound;avg_sum_compound;price_open;price_close;volume_traded;trades_count
2652;521.1693;0.1964555052790347;3992.7;3935.76;48426214.40663121;21271.0
2674;482.5923;0.18025430067314885;3999.0;3968.0;232704145.63065967;64705.0
2407;530.6851;0.2201911092646448;3966.89;3974.5;60013773.46742322;20275.0
2322;546.9008;0.2351421188630491;3968.4;3976.56630661;30470088.150492154;14230.0
2207;521.1172;0.2360670593565927;4044.99820579;3975.5;48453107.12515248;16737.0
2330;533.0723;0.2287553648068669;3974.99;3990.1;48957289.98770369;18355.0
2630;646.4312;0.24562737642585555;3988.0;4044.4097;38712086.15960039;13367.0
3003;710.1055;0.2364302364302364;4051.6;3981.0;16022364.03749654;9032.0
3126;780.9480000000003;0.2495201535508637;4050.17862391;3982.0;29339550.81457691;11784.0
3366;910.3141;0.27035056446821154;4048.13780937;3984.9;30697621.04349289;13117.0
3470;1011.1008;0.29135446685878963;3984.21;4011.5;182535128.68546155;46758.0
4230;1212.3537;0.2865248226950355;4013.0;4020.75;115492516.08966608;32930.0
4464;1184.9575;0.2652329749103943;4024.8;4009.0;73754156.05593544;23657.0
4026;1100.0790000000004;0.27322404371584696;4076.0;4014.0;49956193.58751284;16918.0
4129;1053.085;0.25502542988617105;4086.0;4008.0;21600649.151041213;10645.0
4266;1055.0585;0.2473042662916081;4007.0;4014.25;74426809.50887562;25037.0
4055;966.6581;0.2382244143033292;4012.8;4074.81638717;28611202.48854372;14185.0
3819;930.4024;0.2435192458758837;4009.73762616;4008.0;25317189.594620284;13028.0
3606;912.2153;0.2529118136439268;4080.26137386;4001.0;24197796.96649316;13880.0
3385;856.7351000000001;0.2528803545051699;4005.4;4003.0;17720338.159851614;12623.0
3330;769.2746;0.2309309309309309;4005.0;4009.99;16427019.126610406;10513.0
3167;713.7402;0.2251341964003789;4009.99;4006.0;12005798.85048964;9271.0
2997;591.9229;0.1971971971971972;4636.48;4086.5931174999996;13055226.097090188;9740.0
2926;620.7871;0.21189336978810666;4011.8;4025.5;108459911.07990208;35882.0
3064;634.9100000000002;0.20691906005221933;4025.5;4018.32;65329964.64618277;24782.0
2869;673.2433;0.23457650749390035;4093.0;4014.0;22213184.995110974;16005.0
2579;584.2386;0.2264443582784025;4095.2;4008.44879901;11044091.57141439;8762.0
2453;538.5407;0.21932327761924167;4018.69;4003.01;37403155.12836749;15649.0
2273;521.1519;0.2292124945006599;3980.56807191;3999.08;57791005.04717008;23366.0
2575;692.2977999999997;0.2687378640776699;3998.74;4014.0;41927066.290776394;14588.0
2642;659.3555;0.2494322482967449;4086.9;4008.5;18057711.05413504;8747.0
2914;699.3272999999997;0.2398764584763212;4010.0;4088.7;18741888.070258174;9548.0
3119;783.0843;0.2510420006412312;4013.76;4006.37;19928459.395255674;8786.0
3204;865.5001;0.26997503121098626;4008.69;4130.0;22811739.81210513;10130.0
3129;750.1704;0.2396931927133269;4071.28310982;4005.55;12961048.409518225;7625.0
3372;749.4847;0.22212336892052195;4009.748943;3999.0;44811589.0664705;17692.0
3656;814.5063;0.22264770240700216;4002.0;4071.8;24001991.86288671;12053.0
3760;735.8929;0.19547872340425526;4003.35;4008.01784631;24533019.26059453;12288.0
3823;827.8758;0.2163222600052315;4011.98;4013.0;28439594.15242397;13683.0
4063;899.4654999999997;0.221265075067684;4093.8;4014.0;16407593.286639327;11972.0
4090;884.1261999999997;0.21613691931540344;4018.0;4004.6;33694388.431128904;15058.0
4422;937.7969;0.21189507010402533;4083.4;4005.5;16275470.670893047;12517.0
3881;892.9995;0.2298376707034269;4007.0;4008.5;7569954.132869025;9697.0
3604;742.077;0.2058823529411765;4012.94388769;4007.0;11020514.615069862;9172.0
3510;696.7954;0.19829059829059828;4011.19;4008.0;9337936.418518223;8632.0
3572;763.3421999999997;0.21360582306830908;4011.16;4010.5;7709471.35765512;8409.0
3357;763.3453999999997;0.2272862675007447;4007.59;4010.61;5653260.898224942;6921.0
2830;593.0199;0.20954063604240286;4010.61;4009.0;10373979.72775331;7802.0
3018;613.1259;0.20311464546056995;4007.43;4012.0;117158191.37588702;31402.0
2829;589.0686;0.2082007776599505;4022.95756568;4009.0;47054786.42121815;17242.0
2513;430.6229;0.17111022682053326;4013.25;4024.76;23648779.37778597;12420.0
2498;464.771;0.18574859887910328;4023.86;4025.08;33811663.22142489;17510.0
2442;426.5342;0.17444717444717445;4025.11;4014.52;164438534.15078706;45621.0
2409;487.24;0.2021585720215857;4018.0;4010.0;66605237.66871744;21861.0
2732;743.2348999999997;0.2719619326500732;4094.7;4014.5;19631993.87196015;8995.0
3274;708.8623;0.21624923640806354;4111.20454;4037.53;135036232.1817927;36787.0
2992;664.5425;0.2219251336898396;4068.46113117;4024.99;66869752.89007284;21066.0
3092;626.8221000000002;0.20245795601552394;4113.2;4067.5;215053073.9268976;59831.0
3388;686.2906;0.2024793388429752;4067.9703700000014;4074.0;194333954.7505423;49436.0
3489;706.2854;0.20235024362281456;4080.36;4094.0;105924052.34744741;33456.0
3859;803.5327;0.20808499611298265;4187.3;4082.25;117949796.49106018;34044.0
4405;1217.5959;0.2762769580022701;4237.91;4083.01;34238017.369335964;16720.0
4263;963.0829;0.2258972554539057;4083.01;4066.5;40132443.80386656;18506.0
4300;1153.6291;0.2681395348837209;4068.0;4077.2;38169731.94675282;14766.0
4084;970.9316;0.2375122428991185;4079.17;4075.64550382;17850784.672893494;12161.0
3930;946.003;0.2407124681933842;4145.0;4077.5;19837567.144351747;12622.0
3147;710.2467;0.2256116936765173;4709.46;4089.0;25547087.16675862;15071.0
